p-value	FDR_BH	f-score	row_number	mz	retention_time	mock_6hr_01	mock_6hr_02	mock_6hr_03	yf_6hr_01	yf_6hr_02	yf_6hr_03
0.0008593240136534288	0.02453676960413987	8.957486595201553	row_4993	137.0448	56.0	20.83	21.397227760230148	20.919873334210205	23.030116110380327	23.407053868629482	23.689455756642925
0.0008636436174358716	0.024572351321707448	8.945801453642897	row_2552	667.8269	41.0	15.99	16.032202974119553	15.965166491897262	17.050653088367536	16.831228079027714	17.227747631205787
0.0008722656009448037	0.024649643978610924	-8.922692949431855	row_3701	800.9265	40.0	19.43	19.469171977721647	19.28869412686438	17.948592927850683	17.841307902508863	17.36323505964237
0.0008725264847963592	0.024649643978610924	-8.921998151066942	row_5944	365.066	93.0	15.62	16.975273737303052	16.75017148543244	10.663035593862402	8.554757688666875	10.015647594427563
0.0008877594960687742	0.024991680179823412	-8.881869687091253	row_1449	235.0571	49.0	18.73	19.154815056660485	18.891094195073837	16.67311020131212	15.872682940418056	15.726963808523612
0.0008932283552845667	0.025057405966667053	-8.867670752883097	row_7509	411.0693	93.0	13.43	14.837646674087114	14.670417996066513	10.173250226871595	10.399699407066114	10.390843550098106
0.0008989715232326858	0.02512184384623962	8.852875166647523	row_6610	531.0122	45.0	19.43	19.752093206676705	19.42122743746123	20.509762242740123	20.696329444389253	20.63577756187989
0.0009018097790957812	0.02512184384623962	-8.84560642700255	row_6316	421.0829	292.0	14.92	14.732861033733391	14.670417996066513	10.979355310043966	11.966353827159326	10.640974187211803
0.000913660841862703	0.025363605662126077	-8.815559535249898	row_2356	493.0394	87.0	16.88	17.237237838187358	16.984653496488402	12.356876654705616	10.276016163374546	10.390843550098106
0.0009269013612800243	0.025596866867821803	-8.782556015824719	row_1332	216.0504	93.0	15.53	16.54565261185279	16.403545903871454	8.346758962468368	10.29663003732314	10.390843550098106
0.0009320487520950668	0.025596866867821803	8.769882921616873	row_7035	388.1146	97.0	13.05	12.993419403861598	13.71210021175084	17.86696203335222	17.964991146200436	16.644109477940496
0.0009332332370505144	0.025596866867821803	-8.766978943475952	row_2128	392.0542	158.0	16.94	16.776181020630982	16.801145835662	15.795578085453588	15.986059247135326	16.091737654314418
0.0009348699343844862	0.025596866867821803	-8.762973793597801	row_1601	263.0832	62.0	21.11	21.27148499180568	21.07279638489888	20.550577689989357	20.5211115158262	20.406491144525667
0.0009474491291770667	0.02585275012891006	8.732478578756519	row_4293	870.9644	41.0	18.8	18.58897259875038	18.666807054063785	19.468968337884654	19.768705116702485	19.708209782583268
0.0009553349852256146	0.025979262608431253	8.713615953895617	row_7875	317.0395	131.0	13.32	13.003897967896968	13.324695150006209	14.856822798721204	14.491553385862199	14.966149787302788
0.0009616423031826424	0.026062136318458395	8.69866746995401	row_6578	357.278	386.0	14.73	14.428982676707594	14.49710520528602	15.693539467330503	16.037593932006814	15.706119588764139
0.0009672764376930407	0.026109202420675052	-8.685416822677503	row_2358	495.0451	94.0	12.75	13.779311706514516	13.508202810832612	10.173250226871595	10.657372831423551	10.390843550098106
0.0009699103338262027	0.026109202420675052	8.679255054654329	row_1521	247.1274	73.0	15.55	16.000767282013435	15.50639733983125	17.601661626232197	17.593941415125727	18.14489330062267
0.0009996786852005716	0.026820238550934798	8.611024271061753	row_3547	786.9021	41.0	17.54	17.279152094328847	17.47400725869215	18.591436222026122	18.851387725990012	18.45755659701479
0.0010043016695494287	0.026854153337952113	-8.6006540420024	row_2169	414.0358	162.0	14.55	14.334675600389245	14.435935985010552	13.49970917768417	13.749453923712782	13.569587063417988
0.001011306655759643	0.026931790926312035	-8.585052717437877	row_2357	494.0435	92.0	15.94	17.1848450180105	16.780756095570176	11.581383156970169	10.276016163374546	9.442431551042011
0.0010181386305232604	0.026931790926312035	-8.569965150370905	row_7099	516.0206	91.0	14.17	16.105552922367156	15.618540910336275	10.234473397745443	10.276016163374546	10.390843550098106
0.0010198126323238206	0.026931790926312035	8.566287449810824	row_7176	672.8408	43.0	16.74	16.870488096949334	16.66861252506515	17.264934186426014	17.284733305896804	17.331968730003158
0.001020679506025334	0.026931790926312035	8.56438590843049	row_5399	135.0742	129.0	13.47	13.831704526691377	13.385864370281677	15.009880725905832	14.790454558116823	15.091215105859638
0.0010297697806459177	0.02708226775086879	8.544565536227747	row_6813	176.0289	116.0	14.77	14.68046821355653	14.456325725102374	16.173120972509004	16.872455826924906	16.602421038421546
0.0010356279751016358	0.02713333888429065	8.531906863041991	row_6297	322.0777	503.0	13.38	14.03079724336345	14.232038584092324	16.0506746307613	16.284960419389954	16.12300398395363
0.0010410297928140145	0.02713333888429065	8.520312710199486	row_4520	938.8029	42.0	19.84	19.856878847030423	19.71687866879266	20.387315900992423	20.603567011620576	20.43775747416488
0.0010418930628489343	0.02713333888429065	8.518466743655573	row_2846	726.9056	42.0	16.47	16.231295690791622	16.09769980249411	17.315953495487555	17.398109612614075	17.206903411446312
0.0010598163463258967	0.027510492496349164	-8.48056327581279	row_1354	220.0837	45.0	20.35	20.91521381460302	20.51207853237375	18.968979109081538	18.696783671375552	18.467978706894527
0.0010918883732060976	0.02825128654945874	8.414680569862181	row_7314	468.3072	245.0	12.15	12.144655716996445	12.274623535277332	13.673174828493416	13.687612301866997	14.267868425360387
0.0010987794309197654	0.028337875968398464	-8.400837402634306	row_1665	277.0609	60.0	21.34	21.60679904093759	21.31747326600075	20.397519762804727	20.603567011620576	20.44817958404462
0.0011147002059424108	0.028635600071307304	-8.36926188202695	row_4111	843.8387	40.0	18.19	17.98121588469879	18.12647894163048	17.591457764419886	17.54240673025424	17.571677257237116
0.0011285043588758407	0.028635600071307304	-8.342332953491862	row_2640	699.8308	40.0	12.74	11.98747725646586	12.121700484588663	10.173250226871595	10.276016163374546	10.390843550098106
0.0011323238174822585	0.028635600071307304	8.334953987122597	row_7184	684.9236	44.0	16.95	16.849530968878586	16.576858694651946	18.020019960536846	18.459724120966712	18.165737520382145
0.0011329794664503045	0.028635600071307304	8.333690411807144	row_1333	216.0629	168.0	13.2	12.700019610871173	14.680612866112424	18.356747400343025	18.61432817558117	18.676420904489277
0.0011339732802614609	0.028635600071307304	-8.331776846127841	row_7320	503.9967	92.0	13.35	14.617596829344295	14.36457189468917	10.68344331748702	10.276016163374546	9.807205396832817
