p-value	FDR_BH	t-score	row_number	mz	retention_time	mock_6hr_01	mock_6hr_02	mock_6hr_03	p_0hr_01	p_0hr_02	p_0hr_03	yf_6hr_01	yf_6hr_02	yf_6hr_03
1.0005557785192237e-07	0.0007297747636488233	87.9800081984153	row_7124	578.1245	446.0	13.73	13.863140218797493	13.773269432026309	10.865756253319892	10.996419512631455	13.84989183135871	17.315953495487555	17.295040242871103	17.321546620123424
1.8255778953066248e-07	0.0007297747636488233	-75.69399577808508	row_1492	241.0082	93.0	15.8	15.822631693412106	15.924387011713616	15.849151657270562	16.34524758406919	15.721498835596371	10.173250226871595	10.276016163374546	10.390843550098106
3.717154905509063e-07	0.0009906217823181652	-63.35850516150697	row_1257	205.5373	93.0	15.53	15.665453232881521	15.720489610795388	15.06744257429791	15.092368936705398	15.575929401933443	10.173250226871595	10.276016163374546	10.390843550098106
7.049840890504622e-07	0.0014090869479896114	-53.98147555259755	row_2140	396.1284	73.0	15.97	16.15794574254402	15.822438311254501	14.178248492416515	14.070790962701073	17.083612822013784	10.265084983182371	10.276016163374546	10.390843550098106
1.2997439034115696e-06	0.0018012754862626148	-46.31655554221993	row_2098	384.088	105.0	18.83	19.14433649262511	19.237719776634826	18.096565270816946	18.00290240981206	19.100789259914375	9.754891892566945	10.276016163374546	9.9426928252694
1.4903920556687262e-06	0.0018012754862626148	44.75604221275545	row_7823	184.0885	58.0	9.97	10.447128343266138	10.164285435773673	11.207753977120431	9.608615472474638	10.366623240138614	16.46903296506595	16.54263384374739	16.466933609984963
1.7347389925167285e-06	0.0018012754862626148	-43.08635736501117	row_1831	307.0828	295.0	21.03	21.55440622076073	21.409227096413954	19.923810252265525	20.460472064256425	21.825017232749193	11.43852909159785	11.770522024647674	11.19334601083788
2.0234777836436626e-06	0.0018012754862626148	41.45648825125356	row_7870	305.1452	88.0	9.97	10.447128343266138	10.164285435773673	9.742049446546703	9.608615472474638	10.366623240138614	19.050610003580008	19.62440799906232	19.489345475108784
2.027702235942906e-06	0.0018012754862626148	41.43483715905821	row_7862	288.1171	89.0	9.97	10.447128343266138	10.164285435773673	9.742049446546703	10.591643334252383	11.333620192328073	17.193507153739855	17.552713667228538	17.415345609041058
2.2871617668795856e-06	0.0018285858326202286	40.203726070914094	row_7842	238.1063	302.0	9.97	10.447128343266138	10.164285435773673	9.22416717907732	9.608615472474638	10.366623240138614	17.009837641118303	17.068287629436558	16.758752686617605
3.0834931675999167e-06	0.0018795212754090288	37.3041924539117	row_7851	271.0885	101.0	9.7	10.164207114311086	9.970582904901354	9.742049446546703	9.608615472474638	10.075484372812754	16.407809794192097	16.57355465467028	16.810863236016292
3.1151292014689433e-06	0.0018795212754090288	-37.20888996567769	row_1828	306.0746	94.0	17.04	17.624944707496134	17.52498160892171	15.976179383253621	16.04648421431321	17.76986872356759	10.173250226871595	10.276016163374546	10.390843550098106
3.234873456177085e-06	0.0018795212754090288	-36.85882240960486	row_2447	574.2049	157.0	14.75	14.39754698460148	14.49710520528602	13.005684867957536	13.319063774282798	14.276202315657288	10.418142910367	10.276016163374546	10.390843550098106
3.291219243993296e-06	0.0018795212754090288	-36.699653024414765	row_6035	602.1696	510.0	14.79	15.089132210936048	15.251525588683464	11.491123519698016	11.902347149956045	15.05603856742298	9.244698801951518	9.420540394507858	9.494542100440697
3.843168905758743e-06	0.0020396809619922713	35.30087648986638	row_7931	244.0784	58.0	12.41	11.872213052076765	12.152285094726397	9.742049446546703	9.608615472474638	11.759930676626652	17.71390410616759	17.841307902508863	17.780119454831862
4.485004049362231e-06	0.0020396809619922713	-33.960222758824415	row_826	164.0383	107.0	18.1	18.002173012769536	17.91238667066634	15.92732256556783	15.150194105045266	18.10259885765429	16.12210166344746	16.099435553852597	16.070893434554943
5.113690211224975e-06	0.0020396809619922713	-32.86132764339554	row_1834	307.5834	295.0	18.36	19.14433649262511	19.094991595992063	17.57868300334756	18.205290499001595	19.402325943930443	10.173250226871595	10.276016163374546	10.390843550098106
5.301019888587325e-06	0.0020396809619922713	32.56617027195393	row_2452	577.128	447.0	15.12	14.879560930228601	14.833535916801097	13.474710317741126	13.935865569908051	14.775297516787331	18.377155123967643	18.23297150753217	18.217848069780832
5.856510048105779e-06	0.0020396809619922713	31.762301953074104	row_2449	576.1331	443.0	16.86	17.00670942940917	17.239525247636188	13.718994406170081	14.494842197193433	17.270773522437548	20.652616308112442	20.706636381363552	20.771264990316475
5.9767432842443315e-06	0.0020396809619922713	-31.600810299508552	row_2490	613.1556	295.0	18.46	19.291036389120322	19.237719776634826	18.243135723874317	18.34021589179462	19.506304110832538	10.173250226871595	10.276016163374546	10.390843550098106
6.267615608862765e-06	0.0020396809619922713	31.22635989958778	row_5558	174.0244	111.0	9.97	10.447128343266138	10.164285435773673	14.666816669274425	14.167166243267518	10.366623240138614	14.713968733348885	14.862603116936906	14.726441260068832
6.355442440004773e-06	0.0020396809619922713	31.117544658836945	row_7932	248.4397	37.0	10.59	10.447128343266138	10.164285435773673	10.064504443272924	9.608615472474638	10.366623240138614	17.642477073481427	18.325733940300847	18.217848069780832
6.383648285630863e-06	0.0020396809619922713	-31.08299618350748	row_982	177.1113	307.0	15.73	15.854067385518222	15.322889679004843	14.549560306828527	13.772027592945092	15.222403634466328	10.173250226871595	10.276016163374546	10.390843550098106
6.422643228752462e-06	0.0020396809619922713	31.035545254632396	row_7904	474.1164	340.0	9.2	9.43070763183503	8.665639539024696	9.742049446546703	9.608615472474638	9.004509253721203	16.38740207056748	16.625089339541766	16.62326525818102
6.445291618739567e-06	0.0020396809619922713	-31.00815049653968	row_2547	665.4393	41.0	17.23	17.33154491450571	17.229330377590276	16.327948470591316	13.521451863472333	17.083612822013784	15.315996580275087	15.377949965651778	15.19543620465701
6.902741191842857e-06	0.0020396809619922713	-30.47929125211272	row_2333	484.1131	295.0	18.02	18.840458135599317	18.77895062456881	17.353941641992925	17.867977017019033	19.00720890970249	10.173250226871595	10.276016163374546	10.390843550098106
7.079771026782643e-06	0.0020396809619922713	30.286252287575575	row_7858	278.9738	73.0	9.97	10.447128343266138	10.164285435773673	10.308788531701879	11.459020859350396	10.366623240138614	14.642541700662724	14.831682306014015	14.695174930429618
7.261448894042092e-06	0.0020396809619922713	30.0943149598067	row_6009	481.2078	87.0	15.55	15.298703491643492	15.496202469785336	14.832929849406113	14.552667365533301	15.149618917634864	17.86696203335222	17.861921776457457	17.94687321290766
7.398467529427876e-06	0.0020396809619922713	-29.95348365668661	row_2155	406.0702	105.0	16.18	16.39895271535758	16.55646895456012	15.536468024081502	15.265844441725001	16.324572203628506	10.173250226871595	9.781283188608269	10.390843550098106
